target_id	length	eff_length	est_counts	tpm
Solyc08g006000.3.1	1005	826	72	46.4707
Solyc03g007825.1.1	885	706	31.191	23.5533
Solyc03g031655.1.1	882	703	54.7903	41.5504
Solyc09g066400.2.1	1555	1376	20.0581	7.7714
Solyc01g091800.3.1	1494	1315	24	9.72999
Solyc06g054690.3.1	2403	2224	83	19.8962
Solyc12g056673.1.1	810	631	0	0
Solyc09g065250.2.1	962	783	0	0
Solyc04g049485.1.1	625	446	0	0
Solyc09g084460.3.1	645	466	70.4732	80.6241
Solyc02g067925.1.1	7689	7510	31.9395	2.26733
Solyc12g006750.1.1	252	73.0112	0	0
Solyc03g122240.3.1	3244	3065	41	7.13149
Solyc01g109550.2.1	978	799	0	0
Solyc06g007920.2.1	490	311	0	0
Solyc01g109780.3.1	2980	2801	147.995	28.1682
Solyc06g008460.2.1	390	211	16.1972	40.9246
Solyc06g011460.1.1	600	421	0	0
Solyc01g081630.3.1	2503	2324	1	0.229399
Solyc09g011040.1.1	1290	1111	2	0.959716
Solyc01g080080.3.1	1806	1627	176	57.6702
Solyc10g081420.2.1	6066	5887	0	0
Solyc06g005780.1.1	357	178	0	0
Solyc01g094080.3.1	2132	1953	1.87069	0.510653
Solyc06g069570.3.1	1494	1315	51.8081	21.0039
Solyc01g104590.3.1	2202	2023	1601	421.912
Solyc02g067510.3.1	922	743	0	0
Solyc12g062920.2.1	195	23.5677	0	0
Solyc12g007050.1.1	198	25.324	0	0
Solyc03g026413.1.1	183	17.7996	0	0
Solyc09g064220.2.1	438	259	0	0
Solyc12g038970.2.1	2016	1837	182	52.8188
Solyc07g032745.1.1	1125	946	1	0.563554
Solyc02g078430.3.1	795	616	0	0
Solyc10g054040.2.1	1864	1685	0	0
Solyc03g121770.2.1	2064	1885	0	0
Solyc09g072870.3.1	1463	1284	397	164.836
Solyc03g063690.1.1	1791	1612	14	4.63009
Solyc11g067200.2.1	4337	4158	381	48.8503
Solyc09g055900.3.1	1694	1515	0	0
Solyc01g105230.3.1	7135	6956	498.699	38.2213
Solyc03g120475.1.1	919	740	2	1.44087
Solyc08g007950.3.1	3366	3187	142	23.7538
Solyc06g050185.1.1	204	29.2345	0	0
Solyc04g016060.1.1	846	667	0	0
Solyc02g062170.3.1	1014	835	0	0
Solyc08g076500.3.1	207	31.3862	0	0
Solyc08g066190.2.1	2450	2271	7.4108	1.7397
Solyc09g007320.3.1	2220	2041	125.564	32.7981
Solyc05g012550.3.1	1211	1032	3.09483	1.59876
Solyc06g073033.1.1	438	259	0	0
Solyc02g090135.1.1	2374	2195	4	0.971521
Solyc06g051060.3.1	1647	1468	0	0
Solyc03g007500.3.1	2046	1867	21.1606	6.04242
Solyc07g042093.1.1	654	475	0	0
Solyc06g076130.3.1	5236	5057	42	4.42775
Solyc06g076910.2.1	6763	6584	0	0
Solyc12g013870.2.1	1226	1047	85	43.2812
Solyc02g081570.3.1	2085	1906	0	0
Solyc07g005740.1.1	1431	1252	6	2.5549
Solyc02g086850.2.1	2888	2709	0	0
